
[br01 BR New London 3.600000]
<跳跃>
BR Manchester: 3G (2.1, 1.4) (79978, -52343) jumpgate 
Iw04_ast_ice_largeB_2: 5D (1.1, 1.2) (-17883, 1208) ast_ice_largeB 
Iw04_suprise_ge_armored_1: 5C (2.0, 2.3) (-27337, 9704) suprise_ge_armored 

[iw05 IW Kepler 2.000000]
<跳跃>
KU Shikoku: 3D (1.4, 2.4) (-5976, -35617) jumpgate 
LI Colorado: 6D (2.7, 3.0) (-165, 37369) jumpgate 
IW Galileo: 4F (2.2, 2.4) (34067, -7611) jumphole 
IW Cassini (Liberty Rogues): 5E (2.2, 2.2) (11999, 11655) jumphole 
LI Colorado: 6C (1.4, 1.7) (-33388, 23553) jumphole 
<基地>
LI10_02: 5F (1.7, 1.5) (25490, 7420) dsy_dockable_assaultfrigate 
Iw05_01: 4D (2.7, 2.0) (-10430, -2605) space_freeport01 
Iw05_01_solar_pnl: 4D (2.7, 2.0) (-10430, -2605) space_solar_pnl 
Iw05_01_plant: 4D (2.7, 1.9) (-10585, -2605) dsy_plant 
Iw05_02: 6C (1.0, 1.5) (-34716, 20248) miningbase_FragC 
Iw05_wplatform_planet_frag_1: 6C (1.1, 1.6) (-34047, 21418) wplatform_planet_frag 
Iw05_wplatform_planet_frag_2: 5C (2.9, 1.7) (-33136, 18756) wplatform_planet_frag 
Iw05_suprise_transport_2: 3E (2.5, 2.7) (16937, -24593) suprise_transport 
Iw05_suprise_ge_armored_1: 3E (1.7, 1.9) (8899, -32744) suprise_ge_armored 
Iw05_suprise_transport_large_1: 6F (1.0, 1.3) (22719, 20314) suprise_transport_large 
Iw05_track_telescope_1: 3F (2.2, 1.4) (23906, -28365) telescope 
IW05_track_buoy_03: 3F (2.2, 1.4) (23906, -28265) nav_buoy 
IW05_track_buoy_02: 3F (2.2, 1.4) (23906, -28265) nav_buoy 
IW05_track_buoy_04: 3F (2.2, 1.4) (23906, -28165) nav_buoy 
IW05_track_buoy_05: 3F (2.2, 1.4) (23906, -28365) nav_buoy 
IW05_track_buoy_06: 3F (2.2, 1.4) (23906, -28165) nav_buoy 
IW05_trck_buoy_07: 3F (2.2, 1.4) (23906, -28365) nav_buoy 
IW05_track_buoy_08: 3F (2.2, 1.4) (23906, -28165) nav_buoy 
IW05_track_ring_00: 3F (2.2, 1.3) (22880, -28265) track_ring 
IW05_track_ring_01: 3F (2.2, 1.3) (22715, -28265) track_ring 
IW05_track_ring_02: 3F (2.2, 1.3) (23156, -28265) track_ring 
IW05_track_ring_03: 3F (2.2, 1.4) (23906, -28265) track_ring 
IW05_track_ring_05: 3F (2.2, 1.5) (25406, -28265) track_ring 
IW05_track_ring_07: 3F (2.2, 1.7) (26906, -28265) track_ring 
IW05_track_ring_09: 3F (2.2, 1.8) (28406, -28265) track_ring 
IW05_track_ring_11: 3F (2.2, 2.0) (29906, -28265) track_ring 
IW05_track_ring_12: 3F (2.2, 2.1) (31406, -28265) track_ring 
IW05_track_ring_13: 3F (2.2, 1.4) (24181, -28265) track_ring 
IW05_track_ring_14: 3F (2.2, 1.4) (24001, -28155) track_ring 
IW05_track_ring_15: 3F (2.2, 1.4) (23900, -28000) track_ring 
IW05_track_ring_16: 3F (2.2, 1.4) (23880, -27800) track_ring 
IW05_track_ring_17: 3F (2.2, 1.4) (23950, -27600) track_ring 
IW05_track_ring_18: 3F (2.3, 1.4) (24100, -27480) track_ring 
IW05_track_ring_19: 3F (2.3, 1.4) (24280, -27400) track_ring 
IW05_track_ring_20: 3F (2.3, 1.5) (24540, -27400) track_ring 
IW05_track_ring_21: 3F (2.2, 1.5) (24840, -27500) track_ring 
IW05_track_ring_22: 3F (2.2, 1.5) (25040, -27700) track_ring 
IW05_track_ring_23: 3F (2.2, 1.5) (25180, -27900) track_ring 
IW05_track_ring_24: 3F (2.2, 1.5) (25180, -28100) track_ring 
IW05_track_ring_25: 3F (2.2, 1.5) (25000, -28300) track_ring 
IW05_track_ring_26: 3F (2.1, 1.5) (24750, -28500) track_ring 
IW05_track_ring_27: 3F (2.1, 1.4) (24460, -28550) track_ring 
IW05_track_ring_28: 3F (2.2, 1.4) (24160, -28460) track_ring 
IW05_track_ring_29: 3F (2.2, 1.4) (23960, -28240) track_ring 
IW05_track_ring_30: 3F (2.2, 1.4) (23790, -28040) track_ring 
IW05_track_ring_31: 3F (2.2, 1.4) (23810, -27800) track_ring 
IW05_track_ring_32: 3F (2.2, 1.4) (23900, -27600) track_ring 
IW05_track_ring_33: 3F (2.2, 1.4) (24100, -27500) track_ring 
IW05_track_ring_34: 3F (2.2, 1.4) (24200, -27500) track_ring 
IW05_track_ring_35: 3F (2.2, 1.4) (24200, -27500) track_ring 
IW05_track_ring_36: 3F (2.2, 1.4) (24200, -27500) track_ring 
IW05_track_ring_37: 3F (2.2, 1.4) (24300, -27500) track_ring 
IW05_track_ring_38: 3F (2.2, 1.5) (25150, -27500) track_ring 
IW05_track_ring_40: 3F (2.2, 1.7) (26650, -27500) track_ring 
IW05_track_ring_41: 3F (2.2, 1.8) (28150, -27500) track_ring 
IW05_track_ring_42: 3F (2.3, 2.0) (29650, -27400) track_ring 
IW05_track_ring_43: 3F (2.3, 2.1) (30650, -26700) track_ring 
IW05_track_ring_44: 3F (2.4, 2.1) (30950, -25850) track_ring 
IW05_track_ring_45: 3F (2.5, 2.1) (30650, -25000) track_ring 
IW05_track_ring_46: 3F (2.5, 2.0) (29650, -24600) track_ring 
IW05_track_ring_47: 3F (2.6, 1.8) (28150, -24479) track_ring 
IW05_track_ring_48: 3F (2.6, 1.7) (26650, -24479) track_ring 
IW05_track_ring_49: 3F (2.6, 1.5) (25150, -24479) track_ring 
IW05_track_ring_50: 3F (2.6, 1.4) (23650, -24479) track_ring 
IW05_track_ring_51: 3F (2.6, 1.3) (22815, -24479) track_ring 
IW05_track_ring_51_1: 3F (2.6, 1.3) (22715, -24479) track_ring 
IW05_track_ring_51_2: 3F (2.6, 1.3) (22715, -24479) track_ring 
IW05_track_ring_52: 3F (2.6, 1.3) (22615, -24479) track_ring 
IW05_track_ring_53: 3F (2.6, 1.2) (22150, -24479) track_ring 
IW05_track_ring_54: 3F (2.6, 1.1) (20650, -24479) track_ring 
IW05_track_ring_55: 3E (2.6, 2.9) (19150, -24479) track_ring 
IW05_track_ring_56: 3E (2.6, 2.8) (17650, -24479) track_ring 
IW05_track_ring_57: 3E (2.6, 2.6) (16150, -24479) track_ring 
IW05_track_ring_58: 3F (2.5, 1.8) (27500, -24779) track_ring 
IW05_track_ring_59: 3F (2.4, 1.8) (28150, -25950) track_ring 
IW05_track_ring_60: 3F (2.3, 1.8) (27500, -27150) track_ring 
IW05_track_ring_61: 3F (2.3, 1.4) (23550, -27250) track_ring 
IW05_track_ring_62: 3F (2.2, 1.3) (22715, -28265) track_ring 
IW05_track_ring_63: 3F (2.2, 1.3) (22715, -28265) track_ring 
IW05_track_ring_64: 3F (2.5, 1.3) (22715, -24579) track_ring 
IW05_track_ring_65: 3F (2.6, 1.3) (22715, -24379) track_ring 
IW05_track_ring_66: 3F (2.3, 1.3) (23100, -26800) track_ring 
IW05_track_ring_67: 3F (2.4, 1.3) (22715, -26079) track_ring 
IW05_track_ring_68: 3F (2.7, 1.3) (22715, -23079) track_ring 
IW05_track_ring_69: 3F (2.8, 1.3) (22715, -21579) track_ring 
IW05_track_ring_70: 3F (3.0, 1.3) (22715, -20079) track_ring 
IW05_track_ring_71: 4F (1.1, 1.3) (22715, -18579) track_ring 
IW05_track_ring_72: 3F (2.2, 1.3) (22715, -27579) track_ring 
IW05_track_ring_73: 3F (2.2, 1.3) (22715, -27879) track_ring 
IW05_track_ring_74: 3F (2.2, 1.3) (22715, -28179) track_ring 
IW05_track_ring_75: 3F (2.2, 1.3) (22715, -28265) track_ring 
IW05_track_ring_76: 3F (2.2, 1.3) (22715, -28265) track_ring 
IW05_track_ring_77: 3F (2.2, 1.3) (22715, -28265) track_ring 
IW05_track_ring_78: 3F (2.2, 1.3) (22715, -28265) track_ring 
IW05_track_ring_79: 3F (2.2, 1.3) (22715, -28265) track_ring 

[iw06 IW Galileo 2.000000]
<跳跃>
KU Shikoku: 2E (2.0, 2.0) (10194, -50276) jumpgate 
LI Colorado: 6D (2.7, 2.9) (-638, 37264) jumpgate 
IW Kepler: 3B (2.1, 2.8) (-42308, -28758) jumphole 
KU Shikoku: 2B (2.8, 2.7) (-43012, -41995) jumphole 
LI Colorado: 6D (1.5, 1.3) (-16788, 24596) jumphole 
<基地>
Iw06_01: 3B (1.6, 2.7) (-43247, -33661) miningbase_FragB 
iw06_com_sat_01: 3B (1.6, 2.7) (-43467, -33844) com_sat 
Iw06_wplatform_rock2_1: 3B (1.5, 2.7) (-43030, -35193) wplatform_rock2 
Iw06_wplatform_rock2_2: 3B (1.7, 2.8) (-41688, -33484) wplatform_rock2 
Iw06_wplatform_rock2_3: 3B (1.8, 2.7) (-42997, -32399) wplatform_rock2 
Iw06_02: 6C (1.2, 3.0) (-20375, 22166) miningbase_FragA 
Iw06_wplatform_rock2_4: 6D (1.3, 1.1) (-19109, 23312) wplatform_rock2 
Iw06_wplatform_rock2_5: 6D (1.1, 1.1) (-18669, 21049) wplatform_rock2 
Iw06_wplatform_rock2_6: 6C (1.0, 2.9) (-21107, 20393) wplatform_rock2 
Iw06_suprise_pi_elite_01: 3G (2.6, 2.1) (50810, -23802) suprise_pi_elite 
Iw06_suprise_pi_fighter_1: 5D (1.9, 1.4) (-15553, 9164) suprise_pi_fighter 
Iw06_suprise_transport_1: 3C (2.0, 2.8) (-22457, -29901) suprise_transport 

[iw07 IW Duesseldorf (Unioners) 2.000000]
<跳跃>
RH Hamburg: 3D (2.3, 1.6) (-14384, -26649) jumphole_orange 
<基地>
IW07_Sun1: 5E (1.0, 1.0) (0, 0) sun_1000 
IW07_space_industrial01_01: 3F (2.8, 1.8) (27907, -22084) space_industrial01 
IW07_space_industrial01_02: 3F (2.8, 1.8) (28154, -22084) space_industrial01 
IW07_space_habitat_tall_01: 3F (2.8, 1.8) (27999, -22146) space_habitat_tall 
IW07_dsy_rheinland_unlawful_cruiser_01: 5F (1.4, 1.7) (26653, 4300) dsy_rheinland_unlawful_cruiser 

[iw08 IW Vespucci (Hellfire Legion) 2.000000]
<跳跃>
IW Magellan: 4B (1.5, 1.9) (-50560, -14508) jumphole_light 
LI Kansas: 4D (1.1, 2.5) (-4559, -18507) jumphole 
BR Inverness: 7C (2.1, 2.3) (-27378, 50548) jumphole_orange 
<基地>
IW08_Sun1: 12H (2.0, 2.0) (70000, 150000) sun_2000 
IW08_Sun2: 3B (2.1, 1.9) (-51000, -29000) sun_1000 
IW08_planet_1: 5B (2.0, 2.7) (-42981, 9838) planet_earthsnwcld_2500 
IW08_03_dock_ring_1: 5B (1.8, 2.9) (-40819, 8267) dock_ring 
IW08_03_docking_fixture_1: 5B (1.8, 2.9) (-40819, 8267) docking_fixture 
IW08_gas_collector_01: 5B (1.7, 2.9) (-41319, 7267) gas_collector 
IW08_planet_storm_2500_1: 5B (2.0, 2.7) (-42981, 9838) planet_storm_5000 
IW08_planet_2: 7D (1.4, 2.4) (-5638, 43740) planet_moonred_1500 
IW08_gas_collector_02: 7D (1.2, 2.4) (-5638, 41740) gas_collector 
GA05_06: 6B (3.0, 2.7) (-43378, 39548) miningbase_small_ice 
GA05_06_ast_ice_largeB_01: 6B (2.9, 2.7) (-43128, 39198) ast_ice_largeA 
GA05_06_space_habitat_wide_01: 6B (2.9, 2.7) (-43268, 39398) space_habitat_wide 
GA05_06_space_tanksx4_02: 6B (3.0, 2.7) (-43418, 39548) space_tanksx4 
IW08_dsy_static_hf_bc: 6B (2.9, 2.6) (-44128, 39198) dsy_static_hf_bc 
GA06_01: 7D (1.2, 2.5) (-4838, 41640) luxury_liner 
IW08_02: 4F (1.5, 2.9) (39248, -14743) space_factory02 
IW08_Veracruz_1: 4F (1.6, 2.9) (39486, -14305) space_industrial 
IW08_Veracruz_2: 4F (1.6, 3.0) (39959, -13962) space_industrial 
IW08_Veracruz_3: 4F (1.5, 2.9) (39487, -15180) space_industrial 
IW08_Veracruz_4: 4F (1.4, 3.0) (39960, -15524) space_industrial 
IW08_Veracruz_5: 4G (1.5, 1.0) (40158, -14743) space_industrial01 
IW08_Veracruz_6: 4G (1.6, 1.0) (40232, -14434) space_industrial01 
IW08_Veracruz_7: 4G (1.5, 1.0) (40232, -15051) space_industrial01 
IW08_Veracruz_8: 4F (1.6, 3.0) (39959, -13962) shipyard 
IW08_Veracruz_9: 4F (1.4, 3.0) (39960, -15523) shipyard 
IW08_Veracruz_10: 4F (1.5, 3.0) (39749, -14749) shipyard_2x 
IW08_Veracruz_11: 4G (1.5, 1.0) (40288, -14742) space_industrial01 
IW08_Veracruz_12: 4F (1.5, 3.0) (39743, -14743) space_industrial 
IW08_Veracruz_13: 4G (1.5, 1.1) (40527, -14791) space_arch_chunk2a 
IW08_Veracruz_14: 4G (1.5, 1.0) (40354, -14679) space_industrial 
IW08_Veracruz_15: 4G (1.5, 1.0) (40355, -15045) space_industrial 
IW08_Veracruz_16: 4G (1.5, 1.1) (40724, -14680) space_industrial 
IW08_Veracruz_17: 4G (1.5, 1.1) (41004, -14680) space_industrial 
IW08_Veracruz_18: 4G (1.6, 1.1) (41004, -14267) space_industrial 
IW08_Veracruz_19: 4G (1.5, 1.1) (41005, -15091) space_industrial01 
IW08_Veracruz_20: 4G (1.6, 1.1) (41004, -14268) space_industrial01 
IW08_Veracruz_21: 4G (1.5, 1.0) (40354, -15046) space_dome 
IW08_Veracruz_22: 4G (1.5, 1.1) (40724, -14679) space_dome 
IW08_Veracruz_23: 4G (1.5, 1.1) (41339, -14680) space_dome 
IW08_Veracruz_24: 4G (1.5, 1.0) (40353, -14680) space_habitat_tall 
IW08_Veracruz_25: 4G (1.5, 1.1) (41004, -15091) space_habitat_tall 
IW08_Veracruz_26: 4G (1.6, 1.1) (41005, -14269) space_habitat_tall 
IW08_Veracruz_27: 4G (1.5, 1.1) (41004, -14679) space_habitat_wide 
IW08_Veracruz_28: 4G (1.6, 1.1) (41004, -14268) space_habitat_wide 
IW08_Veracruz_29: 4F (1.6, 3.0) (39994, -13942) dsy_z_shipyard01 
IW08_recusant: 4F (1.4, 3.0) (39758, -16088) dsy_static_recusant 
IW08_dsy_static_hf_bc_2: 4F (1.6, 3.0) (39959, -13962) dsy_static_hf_bc 
IW08_dsy_static_ge_repair_1: 4G (1.6, 1.0) (40039, -13940) dsy_static_ge_repair 
IW08_03: 4B (2.4, 2.7) (-43260, -6000) ou_procurator_nodock 
IW08_com_sat_01: 4B (2.3, 2.7) (-43260, -7000) com_sat 
IW08_04: 3E (1.4, 2.3) (13100, -35768) co_base_ice_large02 
IW08_nav_buoy_1: 3E (1.5, 2.4) (14255, -34666) nav_buoy 
IW08_nav_buoy_2: 3E (1.7, 2.7) (17086, -32532) nav_buoy 
IW08_nav_buoy_3: 5C (1.4, 1.5) (-34891, 3960) nav_buoy 
IW08_la_paz: 5B (1.6, 2.7) (-43196, 5890) space_industrial02 
IW08_space_industrial02_02: 5B (1.6, 2.7) (-42651, 5890) space_industrial02 
IW08_space_industrial02_03: 5B (1.6, 2.6) (-43740, 5891) space_industrial02 
IW08_space_tankl4x4_02: 5B (1.5, 2.7) (-43338, 5420) space_tankl4x4 
IW08_space_tankl4x4_04: 5B (1.6, 2.6) (-43741, 5688) space_tankl4x4 
IW08_space_tankl4x4_03: 5B (1.6, 2.7) (-42653, 5689) space_tankl4x4 
IW08_space_tankl4x4_01: 5B (1.5, 2.7) (-43053, 5419) space_tankl4x4 
IW08_ast_ice_largeB_01: 2C (2.1, 1.2) (-37654, -49011) ast_ice_largeA 
IW08_suprise_ge_csv_01: 5F (1.8, 1.7) (26551, 8128) suprise_ge_csv 
IW08_phoenix: 2D (1.7, 1.2) (-17654, -52911) ithaca_station 
IW08_Roid_Miner_01: 2C (2.2, 1.1) (-39500, -48000) Roid_Miner 
IW08_ast_solar_ice_60_1: 2C (2.2, 1.0) (-39600, -48110) ast_solar_ice_60 
IW08_Roid_Miner_02: 2C (2.1, 1.5) (-34536, -49374) Roid_Miner 
IW08_ast_solar_ice_60_2: 2C (2.1, 1.5) (-34556, -49234) ast_solar_ice_60 

[iw09 BASTILLE PRISON SYSTEM 2.000000]
<跳跃>
0
<基地>
IW09_01: 5C (2.4, 1.6) (-33905, 13751) prison 
IW09_02: 4F (1.8, 2.6) (35564, -12330) prison 
IW09_03: 7G (2.9, 2.8) (58477, 59013) space_shipping01 
IW09_04: 5E (1.0, 1.0) (0, 0) space_shipping01 

[iw11 IW Coronado (Colonial Republic) 2.000000]
<跳跃>
IW Cortez: 2G (2.8, 1.4) (44255, -42114) jumphole_light 
IW Baffin (Zoners): 4B (2.3, 2.4) (-45878, -6583) jumphole_light 
BR Manchester: 6C (1.1, 2.9) (-20657, 20653) jumphole_light 
<基地>
IW11_Sun1: 5E (1.0, 1.0) (0, 0) sun_2000 
IW11_planet_1: 6F (1.0, 1.8) (27500, 20000) planet_gaspurcld_5000 
IW11_moon_1: 6F (2.0, 2.7) (37360, 30090) planet_icemntcld_2000 
IW11_moon_2: 6E (2.5, 2.9) (19423, 35143) planet_mercury_1000 
IW11_moon_3: 5F (2.3, 2.3) (32949, 13324) planet_rckdes_1000 
IW11_moon_4: 5F (2.0, 1.0) (20451, 9824) planet_moonred_1500 
IW11_moon_5: 6E (1.0, 2.3) (13000, 20000) planet_mercury_1500 
IW11_planet_2: 2D (2.9, 1.3) (-16557, -40857) planet_watbluislcld_4000 
IW11_planet_3: 2F (2.8, 2.2) (32056, -41895) planet_desormed_4000 
IW11_02_dock_ring: 6F (1.9, 2.6) (35570, 28820) dock_ring 
IW11_docking_fixture_0: 6F (1.9, 2.6) (35570, 28820) docking_fixture 
IW11_04_dock_ring: 6F (2.0, 2.9) (39485, 29521) dock_ring 
IW11_04_docking_fixture: 6F (2.0, 2.9) (39485, 29521) docking_fixture 
IW11_05_dock_ring: 3D (1.3, 1.6) (-14447, -37196) dock_ring 
IW11_05_docking_fixture: 3D (1.3, 1.6) (-14447, -37196) docking_fixture 
IW11_01A: 5B (2.3, 3.0) (-40243, 13137) miningbase_small_ice 
IW13_06: 5B (2.2, 3.0) (-40128, 12400) miningbase_small_ice 
IW13_07: 5C (2.3, 1.1) (-39448, 12754) miningbase_small_ice 
IW11_01_core: 5C (2.3, 1.0) (-39928, 12841) telescope 
IW11_01_ice_coreA: 5C (2.3, 1.0) (-39928, 12841) ast_ice_largeB 
IW11_ast_ice_coreB: 5C (2.3, 1.0) (-39904, 12821) ast_ice_largeA 
IW11_space_habitat_wide_01: 5C (2.3, 1.0) (-39892, 12855) space_habitat_wide 
IW11_space_habitat_wide_02: 5C (2.3, 1.0) (-39955, 12965) space_habitat_wide 
IW11_space_habitat_wide_03: 5C (2.3, 1.0) (-39766, 12908) space_habitat_wide 
IW11_space_habitat_wide_04: 5B (2.3, 3.0) (-40030, 12805) space_habitat_wide 
IW11_space_habitat_wide_05: 5C (2.3, 1.0) (-39852, 12711) space_habitat_wide 
IW11_space_habitat_tall_01: 5B (2.3, 3.0) (-40047, 12911) space_habitat_tall 
IW11_space_habitat_tall_02: 5C (2.3, 1.0) (-39962, 12741) space_habitat_tall 
IW11_space_habitat_tall_03: 5C (2.3, 1.0) (-39856, 12959) space_habitat_tall 
IW11_space_habitat_tall_04: 5C (2.3, 1.0) (-39790, 12799) space_habitat_tall 
IW11_space_habitat_tall_05: 5C (2.3, 1.0) (-39891, 12856) space_habitat_tall 
IW11_space_habitat_tall_06: 5C (2.3, 1.0) (-39766, 12909) space_habitat_tall 
IW11_space_habitat_tall_07: 5B (2.3, 3.0) (-40030, 12805) space_habitat_tall 
IW11_space_habitat_tall_08: 5C (2.3, 1.0) (-39852, 12711) space_habitat_tall 
IW11_space_habitat_tall_09: 5C (2.3, 1.0) (-39955, 12966) space_habitat_tall 
IW11_space_habitat_wide_06: 5B (2.3, 3.0) (-40005, 12979) space_habitat_wide 
IW11_space_habitat_wide_07: 5C (2.3, 1.0) (-39761, 12855) space_habitat_wide 
IW11_space_habitat_wide_09: 5C (2.3, 1.0) (-39865, 12984) space_habitat_wide 
IW11_depot_consumer_goods_01: 5B (2.3, 2.9) (-41178, 13391) depot_consumer_goods 
IW11_depot_mining_machinery_01: 5B (2.4, 2.9) (-41178, 13561) depot_mining_machinery 
IW11_depot_mining_machinery_02: 5B (2.4, 2.9) (-41228, 13541) depot_mining_machinery 
IW13_04: 7B (1.1, 1.6) (-54100, 41450) lr_huegenot 
IW11_space_habitat_wide_10: 5B (2.3, 3.0) (-40045, 12843) space_habitat_wide 
IW11_space_habitat_wide_08: 5C (2.3, 1.0) (-39974, 12667) space_habitat_wide 
IW11_03: 3D (1.5, 1.7) (-12937, -35297) space_factory01 
IW11_shipyard_01: 3D (1.5, 1.8) (-12364, -34807) shipyard 
IW11_shipyard_02: 3D (1.5, 1.7) (-12800, -34555) shipyard 
IW11_space_industrial02_02: 3D (1.5, 1.7) (-12690, -34869) space_industrial02 
IW11_space_tankl4x4_01: 3D (1.5, 1.7) (-12864, -34769) space_tankl4x4 
IW11_space_tankl4x4_02: 3D (1.5, 1.7) (-12517, -34969) space_tankl4x4 
IW11_large_transport_02: 3D (1.5, 1.7) (-12607, -34726) large_transport 
IW11_Roid_Miner_01: 3D (1.5, 1.8) (-12380, -34836) Roid_Miner 
IW11_space_habitat_tall_10: 3D (1.5, 1.7) (-12908, -34743) space_habitat_tall 
IW11_dsy_zephyrbase1_1: 3D (1.6, 1.6) (-13681, -33846) dsy_zephyr_platform 
IW11_ast_ice_largeA_01: 5B (2.3, 2.3) (-47022, 13340) ast_ice_largeA 
IW11_ast_ice_largeA_02: 5C (2.7, 2.0) (-30316, 16681) ast_ice_largeA 
IW11_ast_ice_largeA_03: 6C (1.0, 1.2) (-38397, 20333) ast_ice_largeA 
IW11_ast_ice_largeA_04: 5B (2.8, 2.6) (-43758, 17614) ast_ice_largeA 
IW11_ast_ice_largeA_05: 5C (1.7, 1.1) (-38708, 7435) ast_ice_largeA 
IW11_ast_ice_largeB_01: 5C (2.0, 1.7) (-32880, 9843) ast_ice_largeB 
IW11_01_ice_largeB_02: 5C (2.3, 1.9) (-31404, 13107) ast_ice_largeB 
IW11_ast_ice_largeB_03: 5B (1.9, 2.6) (-44224, 8678) ast_ice_largeB 
IW11_dyson_debris01_01: 6C (2.9, 1.2) (-38358, 38992) dyson_debris01 
IW11_dyson_debris02_01: 7C (1.1, 1.1) (-39358, 40992) dyson_debris02 
IW11_dyson_debris03_01: 6C (2.9, 1.0) (-39858, 38992) dyson_debris03 
IW11_dyson_debris04_01: 6C (3.0, 1.4) (-36358, 39992) dyson_debris04 
IW11_dyson_debris05_01: 7C (1.1, 1.2) (-38358, 40992) dyson_debris05 
IW11_suprise_pi_freighter_01: 6C (3.0, 1.2) (-38358, 39992) suprise_pi_freighter 
IW11_suprise_bw_freighter_01: 3B (2.6, 1.8) (-52039, -24410) suprise_bw_freighter 

[iw12 IW Baffin (Zoners) 2.000000]
<跳跃>
BW Tau-29: 5D (2.6, 2.6) (-3627, 16122) jumphole_light 
BR Newcastle: 6B (1.9, 2.4) (-46017, 28654) jumphole_light 
IW Coronado (Colonial Republic): 6F (1.8, 1.7) (26992, 27729) jumphole_light 
<基地>
IW12_Sun1: 5D (1.2, 1.0) (-20000, 2000) sun_2000 
IW12_planet_1: 4E (1.0, 1.4) (3516, -19765) planet_mercury_1500 
IW12_planet_2: 2C (2.7, 1.2) (-38358, -43455) planet_gasorgcld_8000 
IW12_planet_4: 6B (2.6, 2.7) (-42829, 35923) planet_crater_1000 
IW12_planet_3: 7C (1.2, 1.1) (-39163, 42114) planet_crater_1000 
IW12_01: 4E (1.0, 1.3) (2750, -19771) space_shipping01 
IW12_01b: 3E (3.0, 1.4) (3854, -20488) space_shipping01 
IW12_01c: 4E (1.1, 1.4) (3858, -19054) space_shipping01 
IW12_space_dome_01: 4E (1.0, 1.4) (3537, -19771) space_dome 
IW12_space_habitat_tall_01a: 4E (1.0, 1.2) (2148, -19771) space_habitat_tall 
IW12_space_habitat_tall_02a: 4E (1.0, 1.2) (2148, -19771) space_habitat_tall 
IW12_space_habitat_tall_03a: 4E (1.0, 1.2) (2148, -19771) space_habitat_tall 
IW12_space_habitat_tall_04a: 4E (1.0, 1.2) (2477, -19770) space_habitat_tall 
IW12_space_habitat_tall_05a: 4E (1.0, 1.2) (2476, -19770) space_habitat_tall 
IW12_space_habitat_tall_06a: 4E (1.0, 1.3) (2806, -19771) space_habitat_tall 
IW12_space_habitat_tall_01b: 3E (2.9, 1.4) (4108, -21034) space_habitat_tall 
IW12_space_habitat_tall_02b: 3E (2.9, 1.4) (4108, -21033) space_habitat_tall 
IW12_space_habitat_tall_03b: 3E (2.9, 1.4) (4108, -21034) space_habitat_tall 
IW12_space_habitat_tall_04b: 3E (2.9, 1.4) (3969, -20735) space_habitat_tall 
IW12_space_habitat_tall_05b: 3E (2.9, 1.4) (3969, -20735) space_habitat_tall 
IW12_space_habitat_tall_06b: 3E (3.0, 1.4) (3831, -20439) space_habitat_tall 
IW12_space_habitat_tall_01c: 4E (1.1, 1.4) (4112, -18509) space_habitat_tall 
IW12_space_habitat_tall_02c: 4E (1.1, 1.4) (4112, -18509) space_habitat_tall 
IW12_space_habitat_tall_03c: 4E (1.1, 1.4) (4112, -18509) space_habitat_tall 
IW12_space_habitat_tall_04c: 4E (1.1, 1.4) (3973, -18807) space_habitat_tall 
IW12_space_habitat_tall_05c: 4E (1.1, 1.4) (3973, -18807) space_habitat_tall 
IW12_space_habitat_tall_06c: 4E (1.1, 1.4) (3835, -19103) space_habitat_tall 
IW12_02: 3B (1.5, 2.5) (-45025, -34769) space_police01 
IW12_space_dome_02: 3B (1.5, 2.4) (-45827, -34771) space_dome 
IW12_space_dome_03: 3B (1.5, 2.4) (-45667, -35099) space_dome 
IW12_space_dome_04: 3B (1.5, 2.5) (-45162, -35113) space_dome 
IW12_space_dome_05: 3B (1.6, 2.5) (-45156, -34427) space_dome 
IW12_space_dome_06: 3B (1.6, 2.4) (-45645, -34428) space_dome 
IW12_space_dome_07: 3B (1.5, 2.5) (-45401, -34770) space_dome 
IW12_space_habitat_wide_01: 3B (1.5, 2.4) (-45827, -34771) space_habitat_wide 
IW12_space_habitat_wide_02: 3B (1.5, 2.4) (-45827, -34771) space_habitat_wide 
IW12_space_habitat_tall_01: 3B (1.5, 2.4) (-45827, -34771) space_habitat_tall 
IW12_space_habitat_wide_03: 3B (1.5, 2.4) (-45667, -35099) space_habitat_wide 
IW12_space_habitat_tall_02: 3B (1.5, 2.4) (-45667, -35099) space_habitat_tall 
IW12_space_habitat_wide_04: 3B (1.6, 2.4) (-45645, -34428) space_habitat_wide 
IW12_space_habitat_tall_03: 3B (1.6, 2.4) (-45645, -34428) space_habitat_tall 
IW12_space_habitat_tall_04: 3B (1.5, 2.5) (-45162, -35113) space_habitat_tall 
IW12_space_habitat_tall_05: 3B (1.6, 2.5) (-45156, -34427) space_habitat_tall 
IW12_03: 3F (2.7, 2.6) (35565, -23176) space_police01 
IW12_gas_miner_sat_01: 3F (2.7, 2.6) (35759, -23183) gas_miner_sat 
IW12_gas_miner_sat_02: 3F (2.7, 2.5) (35370, -23184) gas_miner_sat 
GA06_03: 6C (2.9, 1.1) (-39094, 38750) dsy_zephyrbase 
IW12_scrubby_farm_01: 3G (1.3, 2.5) (54721, -37286) gas_miner_mission_sat 
IW12_scrubby_farm_02: 5G (1.8, 2.0) (49893, 8046) gas_miner_mission_sat 
IW12_scrubby_farm_03: 7F (2.4, 2.1) (31384, 54184) gas_miner_mission_sat 
